observation_id,class_label_Y,firm_status,x1_crisp,x1_lower_vertex,x1_modal_vertex,x1_upper_vertex,x1_left_spread,x1_right_spread,x2_crisp,x2_lower_vertex,x2_modal_vertex,x2_upper_vertex,x2_left_spread,x2_right_spread,x3_crisp,x3_lower_vertex,x3_modal_vertex,x3_upper_vertex,x3_left_spread,x3_right_spread,Y_fuzzy_lower_vertex,Y_fuzzy_modal_vertex,Y_fuzzy_upper_vertex,Y_fuzzy_modal,Y_fuzzy_left_spread,Y_fuzzy_right_spread
1,0,bankrupt,7.2,6.21,7.2,7.93,0.9900000000000002,0.7299999999999995,-22.6,-24.7,-22.6,-19.46,2.099999999999998,3.1400000000000006,2.0,1.56,2.0,2.37,0.43999999999999995,0.3700000000000001,0.9,0.98,0.99,0.98,0.08,0.01
2,0,bankrupt,-4.0,-4.2,-4.0,-3.62,0.20000000000000018,0.3799999999999999,-15.8,-16.83,-15.8,-14.69,1.0299999999999976,1.1100000000000012,2.1,1.63,2.1,2.49,0.4700000000000002,0.3900000000000001,0.9,0.98,0.99,0.98,0.08,0.01
3,0,bankrupt,-48.2,-50.94,-48.2,-44.56,2.739999999999995,3.6400000000000006,6.8,5.81,6.8,7.36,0.9900000000000002,0.5600000000000005,1.6,1.24,1.6,1.9,0.3600000000000001,0.2999999999999998,0.9,0.98,0.99,0.98,0.08,0.01
4,0,bankrupt,-27.9,-31.17,-27.9,-24.57,3.270000000000003,3.3299999999999983,6.3,5.85,6.3,7.11,0.4500000000000002,0.8100000000000005,1.3,1.01,1.3,1.54,0.29000000000000004,0.24,0.9,0.98,0.99,0.98,0.08,0.01
5,0,bankrupt,-38.0,-40.04,-38.0,-35.43,2.039999999999999,2.5700000000000003,1.6,1.51,1.6,1.7,0.09000000000000008,0.09999999999999987,1.2,0.93,1.2,1.42,0.2699999999999999,0.21999999999999997,0.9,0.98,0.99,0.98,0.08,0.01
6,0,bankrupt,20.8,18.49,20.8,23.46,2.3100000000000023,2.66,-4.3,-4.68,-4.3,-3.79,0.3799999999999999,0.5099999999999998,1.0,0.78,1.0,1.19,0.21999999999999997,0.18999999999999995,0.9,0.98,0.99,0.98,0.08,0.01
7,0,bankrupt,3.3,2.9,3.3,3.68,0.3999999999999999,0.38000000000000034,-3.5,-3.91,-3.5,-3.07,0.41000000000000014,0.43000000000000016,1.1,0.86,1.1,1.31,0.2400000000000001,0.20999999999999996,0.9,0.98,0.99,0.98,0.08,0.01
8,0,bankrupt,-18.1,-20.42,-18.1,-15.97,2.3200000000000003,2.130000000000001,-6.5,-6.93,-6.5,-5.61,0.4299999999999997,0.8899999999999997,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.9,0.98,0.99,0.98,0.08,0.01
9,0,bankrupt,-20.3,-23.28,-20.3,-18.21,2.9800000000000004,2.09,-17.4,-19.04,-17.4,-15.33,1.6400000000000006,2.0699999999999985,1.0,0.78,1.0,1.19,0.21999999999999997,0.18999999999999995,0.9,0.98,0.99,0.98,0.08,0.01
10,0,bankrupt,-11.4,-12.81,-11.4,-10.55,1.4100000000000001,0.8499999999999996,4.8,4.53,4.8,5.45,0.2699999999999996,0.6500000000000004,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.9,0.98,0.99,0.98,0.08,0.01
11,0,bankrupt,-8.8,-9.37,-8.8,-8.06,0.5699999999999985,0.7400000000000002,-9.1,-10.01,-9.1,-8.47,0.9100000000000001,0.629999999999999,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.9,0.98,0.99,0.98,0.08,0.01
12,0,bankrupt,-13.1,-14.78,-13.1,-11.83,1.6799999999999997,1.2699999999999996,-17.6,-19.04,-17.6,-15.78,1.4399999999999977,1.820000000000002,0.9,0.7,0.9,1.07,0.20000000000000007,0.17000000000000004,0.9,0.98,0.99,0.98,0.08,0.01
13,0,bankrupt,-18.1,-19.58,-18.1,-16.23,1.4799999999999969,1.870000000000001,-28.8,-30.67,-28.8,-25.67,1.870000000000001,3.129999999999999,1.1,0.86,1.1,1.31,0.2400000000000001,0.20999999999999996,0.9,0.98,0.99,0.98,0.08,0.01
14,0,bankrupt,-57.9,-64.97,-57.9,-52.26,7.07,5.640000000000001,0.7,0.66,0.7,0.78,0.039999999999999925,0.08000000000000007,0.8,0.62,0.8,0.95,0.18000000000000005,0.1499999999999999,0.9,0.98,0.99,0.98,0.08,0.01
